,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
Aggro-Control Druid,0.3724343776702881,0.39440402388572693,0.41995373368263245,0.4454977214336395,0.471076101064682,0.5004532933235168,0.5298085808753967,0.5585308074951172,0.5868364572525024,0.6122703552246094,0.6310632824897766,0.6460689902305603,0.6587182283401489,0.666539192199707,0.6677458882331848,0.6615615487098694,0.6454476118087769,0.6235588788986206,0.5971446633338928,0.5699927806854248,0.543411135673523,0.5161019563674927,0.48962071537971497,0.46320977807044983,0.4364197254180908,0.409664511680603,0.3838646411895752,0.36323341727256775,0.343887060880661,0.32481831312179565,0.3062991797924042
Attrition Druid,0.5714477300643921,0.5898456573486328,0.6078372001647949,0.6259862184524536,0.6449639201164246,0.6596473455429077,0.6742391586303711,0.6888580322265625,0.7029781937599182,0.7158199548721313,0.7262910008430481,0.7323921322822571,0.7354382872581482,0.7361935973167419,0.7339310646057129,0.7286819815635681,0.7187319397926331,0.7002809643745422,0.677579939365387,0.6503231525421143,0.6186588406562805,0.5844646692276001,0.5495910048484802,0.5118839144706726,0.47605347633361816,0.4426748752593994,0.41014599800109863,0.37781429290771484,0.346090167760849,0.3153373897075653,0.286602258682251
Classic Aggro Druid,0.49785807728767395,0.5081385374069214,0.518241286277771,0.5283260941505432,0.539489209651947,0.5503516793251038,0.5577659010887146,0.5660732984542847,0.5766654014587402,0.5873157978057861,0.5969012379646301,0.6065159440040588,0.6202528476715088,0.6332482099533081,0.64469975233078,0.6523342728614807,0.6556119918823242,0.6544039845466614,0.6466209888458252,0.6298518776893616,0.6052061319351196,0.5752897262573242,0.5468063354492188,0.5188058614730835,0.48620739579200745,0.4514293968677521,0.41934406757354736,0.3886220455169678,0.3591156601905823,0.33191436529159546,0.30533525347709656
Classic Control Druid,0.45426619052886963,0.4733034074306488,0.4920983612537384,0.5105286240577698,0.5242030024528503,0.5399025082588196,0.5555739998817444,0.5721670985221863,0.5904197096824646,0.6076357364654541,0.6248229742050171,0.6380401849746704,0.6433888673782349,0.6441841125488281,0.6401294469833374,0.6310804486274719,0.6159646511077881,0.5938059091567993,0.5679855942726135,0.5390528440475464,0.5064564943313599,0.4716644585132599,0.43573424220085144,0.4019404351711273,0.3683408796787262,0.3345450460910797,0.30406129360198975,0.2796594798564911,0.2612387537956238,0.24370184540748596,0.2269802987575531
Mid-Range Druid,0.48017072677612305,0.49781543016433716,0.5150155425071716,0.5325304865837097,0.5507922768592834,0.5688713192939758,0.586416482925415,0.603785514831543,0.6165732741355896,0.6301801800727844,0.6449014544487,0.6591285467147827,0.672714352607727,0.6845625042915344,0.6954950094223022,0.7037218809127808,0.7074081301689148,0.706203818321228,0.6971380710601807,0.6785224080085754,0.6534097194671631,0.6280022859573364,0.5997146368026733,0.5693747997283936,0.5360892415046692,0.5001756548881531,0.4642069637775421,0.43528613448143005,0.40975502133369446,0.3859178423881531,0.36204952001571655
Tempo Druid,0.8055395483970642,0.8182399868965149,0.8294944167137146,0.8398579359054565,0.8490378856658936,0.8564977049827576,0.8615368008613586,0.8655891418457031,0.8697245121002197,0.8727532029151917,0.874150812625885,0.8744858503341675,0.8736782073974609,0.8716297149658203,0.8680267333984375,0.8624821305274963,0.853691816329956,0.8414766192436218,0.8263207077980042,0.8084395527839661,0.7891038656234741,0.7662151455879211,0.73936527967453,0.7094876766204834,0.6774374842643738,0.6444677114486694,0.6111138463020325,0.5776898860931396,0.5491071343421936,0.5199432373046875,0.490777850151062
Aggro-Control Hunter,0.10933350771665573,0.11334171146154404,0.11746136844158173,0.12169108539819717,0.12602858245372772,0.13047067821025848,0.13501310348510742,0.13962730765342712,0.14416629076004028,0.1487879902124405,0.15349674224853516,0.15870723128318787,0.16501006484031677,0.17163968086242676,0.17947086691856384,0.1877835988998413,0.19584603607654572,0.20462535321712494,0.2135644555091858,0.22242537140846252,0.23176465928554535,0.24126310646533966,0.2516852617263794,0.2624823749065399,0.27267664670944214,0.28212305903434753,0.29185885190963745,0.29958707094192505,0.3050686717033386,0.3084586560726166,0.3092428743839264
Attrition Hunter,0.13439776003360748,0.13998441398143768,0.14589965343475342,0.15224750339984894,0.15902552008628845,0.16614650189876556,0.1740414947271347,0.18215329945087433,0.19046065211296082,0.19923348724842072,0.20762105286121368,0.21524974703788757,0.22231368720531464,0.2300305962562561,0.23790203034877777,0.2458549290895462,0.2538280189037323,0.2614343762397766,0.2705170512199402,0.27997922897338867,0.29015180468559265,0.30130961537361145,0.31203195452690125,0.3228623867034912,0.33125102519989014,0.3361799418926239,0.336082398891449,0.3326374292373657,0.3262278139591217,0.3173235356807709,0.3061468303203583
Classic Aggro Hunter,0.2509879469871521,0.26048728823661804,0.2701415717601776,0.2799294888973236,0.2898262143135071,0.29946190118789673,0.30958959460258484,0.3197447955608368,0.330228716135025,0.34163352847099304,0.3531188666820526,0.3644620478153229,0.3750744163990021,0.3847772181034088,0.3938964903354645,0.40379297733306885,0.4141833484172821,0.4233555197715759,0.43124398589134216,0.438360333442688,0.44418659806251526,0.44701001048088074,0.4480036795139313,0.44710180163383484,0.44426292181015015,0.4375188648700714,0.427729070186615,0.41490498185157776,0.39927729964256287,0.38198983669281006,0.3618585467338562
