Batch Size,L1 Nodes,L1 Regularization,L1 Dropout,L2 Nodes,L2 Regularization,L2 Dropout,Learning Rate,Accuracy
9.0,133.0,0.006999999999999999,0.48,281.0,0.08,0.47,1e-06,0.4673566818237305
200.0,109.0,0.7000000000000001,0.45,59.0,0.00030000000000000003,0.63,0.2,0.4164012670516968
200.0,176.0,0.06,0.1,296.0,0.004,0.29,0.09,0.4148089289665222
400.0,156.0,7.000000000000001e-05,0.2,73.0,0.006,0.48,0.0002,0.4649681448936462
1.0,162.0,0.01,0.24,247.0,0.8,0.48,6e-06,0.4386942684650421
90.0,9.0,0.0009000000000000002,0.34,88.0,0.0009000000000000002,0.73,4e-06,0.43073248863220215
90.0,226.0,9e-05,0.34,91.0,0.2,0.23,0.9,0.412420392036438
400.0,213.0,0.01,0.55,61.0,0.001,0.18,0.009000000000000001,0.4609872698783874
800.0,11.0,0.5,0.5,137.0,0.0004,0.56,3e-06,0.3845541477203369
600.0,251.0,0.06,0.1,142.0,0.009000000000000001,0.03,0.0004,0.5063694119453429
70.0,25.0,0.0009000000000000002,0.18,195.0,0.5,0.47,0.02,0.4593949019908905
80.0,78.0,0.05,0.04,265.0,0.009000000000000001,0.37,2e-06,0.4410828053951264
6.0,260.0,0.0,0.14,225.0,0.6000000000000001,0.73,8e-06,0.5159235596656799
90.0,205.0,0.0,0.02,60.0,0.01,0.41,0.0004,0.4697452187538147
2.0,131.0,0.07,0.75,205.0,8e-05,0.13,0.01,0.4126984179019928
7.0,14.0,8e-05,0.62,300.0,0.0,0.75,0.002,0.41507935523986816
700.0,265.0,0.02,0.6,105.0,1e-05,0.28,0.003,0.4952380955219269
600.0,293.0,0.0,0.58,262.0,0.02,0.56,5e-05,0.5015873312950134
80.0,240.0,0.7000000000000001,0.58,47.0,2e-05,0.52,5e-05,0.5063492059707642
7.0,129.0,0.0008,0.3,210.0,0.0007,0.38,0.00030000000000000003,0.4507936537265778
900.0,208.0,0.0007,0.06,59.0,0.0009000000000000002,0.7,0.6000000000000001,0.4166666567325592
400.0,219.0,1e-05,0.36,273.0,0.0,0.76,0.01,0.4325396716594696
70.0,188.0,0.5,0.18,105.0,6.000000000000002e-05,0.01,0.0005,0.4825396835803986
100.0,265.0,2e-05,0.2,96.0,0.0009000000000000002,0.35,0.01,0.4476190507411957
2.0,288.0,0.09,0.39,17.0,0.0007,0.55,0.00030000000000000003,0.4611110985279083
60.0,187.0,0.6000000000000001,0.66,119.0,4e-05,0.68,3.000000000000001e-05,0.5047619342803955
1.0,299.0,0.002,0.25,202.0,0.009000000000000001,0.71,0.006,0.4126984179019928
80.0,167.0,0.07,0.06,267.0,0.0006000000000000001,0.42,6.000000000000002e-05,0.5174603462219238
300.0,133.0,0.8,0.39,176.0,0.4,0.41,9e-05,0.42301586270332336
70.0,251.0,0.05,0.26,196.0,0.0008,0.49,1e-06,0.4412698447704315
3.0,249.0,0.9,0.45,297.0,0.0001,0.0,5e-06,0.5063492059707642
900.0,50.0,0.009000000000000001,0.69,54.0,0.006,0.19,0.04,0.498412698507309
20.0,117.0,0.006,0.6,273.0,0.0008,0.34,0.04,0.4126984179019928
600.0,53.0,0.0001,0.46,104.0,0.01,0.06,0.004,0.4920634925365448
700.0,122.0,0.09,0.25,219.0,0.003,0.03,0.003,0.4730158746242523
8.0,77.0,7.000000000000001e-05,0.38,5.0,9e-05,0.48,0.006,0.4730158746242523
70.0,279.0,0.4,0.33,87.0,0.01,0.78,0.04,0.4126984179019928
700.0,186.0,5e-05,0.76,49.0,0.9,0.67,0.0001,0.4952380955219269
8.0,294.0,1e-05,0.77,226.0,0.30000000000000004,0.63,0.006,0.4126984179019928
