1.930000000000000000e+02,0.000000000000000000e+00,5.000000000000000104e-04,8.200000000000000000e+01,5.000000000000000278e-02,8.000000000000000383e-04,1.890000000000000000e+02,4.000000000000000083e-02,4.426229596138000488e-01
1.210000000000000000e+02,0.000000000000000000e+00,7.000000000000000146e-03,5.000000000000000000e+01,3.499999999999999778e-01,8.000000000000000654e-05,1.560000000000000000e+02,5.000000000000000104e-04,4.557377099990844727e-01
1.290000000000000000e+02,0.000000000000000000e+00,4.000000000000000083e-03,1.160000000000000000e+02,4.699999999999999734e-01,8.000000000000000167e-03,8.400000000000000000e+01,6.000000000000000125e-03,4.786535203456878662e-01
8.400000000000000000e+01,0.000000000000000000e+00,6.000000000000000830e-05,3.500000000000000000e+01,6.800000000000000488e-01,9.000000000000000838e-04,2.170000000000000000e+02,2.999999999999999889e-02,4.491803348064422607e-01
1.260000000000000000e+02,0.000000000000000000e+00,3.000000000000000062e-03,1.970000000000000000e+02,2.500000000000000000e-01,6.000000000000000559e-04,1.490000000000000000e+02,4.000000000000000192e-04,4.918032884597778320e-01
1.040000000000000000e+02,0.000000000000000000e+00,4.000000000000000327e-05,2.900000000000000000e+01,6.600000000000000311e-01,7.000000000000000742e-05,9.000000000000000000e+01,5.000000000000000104e-03,4.295082092285156250e-01
1.870000000000000000e+02,0.000000000000000000e+00,5.000000000000000104e-03,3.600000000000000000e+01,5.899999999999999689e-01,5.000000000000000104e-04,7.500000000000000000e+01,2.999999999999999889e-02,4.098360538482666016e-01
4.900000000000000000e+01,0.000000000000000000e+00,4.000000000000000192e-04,6.700000000000000000e+01,1.499999999999999944e-01,3.000000000000000415e-05,1.250000000000000000e+02,3.000000000000000279e-04,4.491803348064422607e-01
8.100000000000000000e+01,0.000000000000000000e+00,5.000000000000000240e-05,1.600000000000000000e+02,5.200000000000000178e-01,3.000000000000000415e-05,2.370000000000000000e+02,5.000000000000000104e-03,4.360655844211578369e-01
1.230000000000000000e+02,0.000000000000000000e+00,8.000000000000000167e-03,9.000000000000000000e+00,7.900000000000000355e-01,2.000000000000000096e-04,1.440000000000000000e+02,9.000000000000000838e-04,4.098360538482666016e-01
1.630000000000000000e+02,0.000000000000000000e+00,1.000000000000000048e-04,8.000000000000000000e+00,3.900000000000000133e-01,3.000000000000000062e-03,2.950000000000000000e+02,5.000000000000000104e-03,4.491803348064422607e-01
1.540000000000000000e+02,0.000000000000000000e+00,1.000000000000000048e-04,8.300000000000000000e+01,6.099999999999999867e-01,5.000000000000000240e-05,1.010000000000000000e+02,8.999999999999999667e-02,4.262295067310333252e-01
1.800000000000000000e+01,0.000000000000000000e+00,3.000000000000000279e-04,1.210000000000000000e+02,3.400000000000000244e-01,1.000000000000000082e-05,2.680000000000000000e+02,2.000000000000000042e-02,4.327868819236755371e-01
1.610000000000000000e+02,0.000000000000000000e+00,3.000000000000000415e-05,4.000000000000000000e+00,2.200000000000000011e-01,5.000000000000000104e-04,2.110000000000000000e+02,8.999999999999999667e-02,4.098360538482666016e-01
